Numéro billet;Inscrit;Prénom participant;Nom participant;Paiement;Montant dû;Moyen de paiement;Prestations;Acheté par;Prénom;Nom;Identifiant;Email de l'acheteur;Date de paiement;Date de création;Activités + Afterwork - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités + Afterwork (à partir de 9h30 jusqu'à 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;Afterwork Uniquement - Adhérent Cannes Is Up [Supprimé];JOURNEE ET SOIREE - Activités uniquement (à partir de 9h30 jusqu'à 18h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;JOURNEE ET SOIREE - Afterwork uniquement (18h - 23h) - SELECTIONNEZ POUR FAIRE AFFICHER LA REDUCTION;NUIT - Continuer la fête et dormir sur l'île (23h - 8h);NUIT - Continuer la fête et dormir sur l'île (23h - 8h) [Supprimé];Société;Fonction;Choix d'atelier n°1 (les ateliers** doublent vos jetons !);Lunch pack;Choix du moyen de transport à l'aller;Choix du moyen de transport au retour;J'accepte qu'on utilise mes informations, et qu'on me photographie, à des fins de communication.;Choix d'atelier n°2 (les ateliers** doublent vos jetons !);Choix d'atelier n°3 (les ateliers** doublent vos jetons !);Choix d'atelier n°5 (les ateliers** doublent vos jetons !);Ville Société;Je m'inscris à la newsletter de Cannes Is Up et accepte d'être contacté par email;Choix d'atelier n°4 (les ateliers** doublent vos jetons !);La rencontre avec les décideurs est réservée aux sociétés innovantes. Quelle est votre innovation?;Détail
;Sonja Curry;Sonja;Curry;;;;;;;;;sonjacurry@trez.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Droit de l'innovation TBC**;Tir à l'arc**;;;Charisme et Leadership**;;
;Peters Kane;Peters;Kane;;;;;;;;;peterskane@enersave.com;;;;;;;;;;;;Storytelling**;;;;;Paddle**;Droit de l'innovation TBC**;Réséaux Sociaux**;;;Ping-Pong;;
;Palmer Carroll;Palmer;Carroll;;;;;;;;;palmercarroll@unic.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Charisme et Leadership**;Droit de l'innovation TBC**;Réséaux Sociaux**;;; ;;
;Workman Jones;Workman;Jones;;;;;;;;;workmanjones@plasmos.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Ping-Pong**;Droit de l'innovation TBC**;Réséaux Sociaux**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Glass Gibbs;Glass;Gibbs;;;;;;;;;glassgibbs@unib.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Référencement Google par BRAINY UP**;Droit de l'innovation TBC**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Ping-Pong;;
;Tasha Saunders;Tasha;Saunders;;;;;;;;;tashasaunders@radiantix.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Quiz Cinéma par ADASTRA FILMS**;Droit de l'innovation TBC**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Ping-Pong;;
;Lizzie Snow;Lizzie;Snow;;;;;;;;;lizziesnow@huni.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Quiz Cinéma par ADASTRA FILMS**;Assurance par GAN**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Ping-Pong;;
;Lizzie Kim;Lizzie;Kim;;;;;;;;;lizziekim@gmail.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Assurance par GAN**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Comptabilité Gestion par PEPIT**;;
;Lela Ferrell;Lela;Ferrell;;;;;;;;;lelaferrell@rodeocean.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Storytelling**;Assurance par GAN**;Droit de l'innovation TBC;;;Comptabilité Gestion par PEPIT**;;
;Lewis Franco;Lewis;Franco;;;;;;;;;lewisfranco@ytre.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Storytelling**;Assurance par GAN**;Droit de l'innovation TBC;;;Comptabilité Gestion par PEPIT**;;
;Branch Carney;Branch;Carney;;;;;;;;;branchcarney@neteria.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Assurance par GAN**;Droit de l'innovation TBC;;;Comptabilité Gestion par PEPIT**;;
;Floyd Pruitt;Floyd;Pruitt;;;;;;;;;floydpruitt@ujnb.com;;;;;;;;;;;;Kayak**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Assurance par GAN**;Droit de l'innovation TBC;;; ;;
;Rosa Marks;Rosa;Marks;;;;;;;;;rosamarks@unix.com;;;;;;;;;;;;Paddle**;;;;;Kayak;Droit de l'innovation TBC**;Whimsifoil: volez au-dessus de l'eau!**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Aurora Cabrera;Aurora;Cabrera;;;;;;;;;auroracabrera@nebulean.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Pétanque par BLUE BEACON;Charisme et Leadership**;Whimsifoil: volez au-dessus de l'eau!**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Theresa Burton;Theresa;Burton;;;;;;;;;theresaburton@aeora.com;;;;;;;;;;;;Ping-Pong**;;;;;Assurance par GAN**;Charisme et Leadership**;Whimsifoil: volez au-dessus de l'eau!**;;;"Visite guidée: ""Le Masque de fer: un secret d'Etat?""**";;
;Stafford Bush;Stafford;Bush;;;;;;;;;staffordbush@unic.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Paddle**;Assurance par GAN**;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Skinner Garner;Skinner;Garner;;;;;;;;;skinnergarner@unic.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Comptabilité Gestion par PEPIT**;Assurance par GAN**;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Peters Kane;Peters;Kane;;;;;;;;;peterskane@enersave.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Biodiversité & Environnement par le CPIE**;Comptabilité Gestion par PEPIT**;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Workman Janes;Workman;Janes;;;;;;;;;workmanjanes@hmil.com;;;;;;;;;;;;Storytelling**;;;;;Biodiversité & Environnement par le CPIE**;Réseaux Sociaux**;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Nikole Dalton;Nikole;Dalton;;;;;;;;;nicoledalton@datagene.com;;;;;;;;;;;;Storytelling**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Réseaux Sociaux**;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Craft Moon;Craft;Moon;;;;;;;;;craftmoon@unic.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Référencement Google par BRAINY UP**;Réseaux Sociaux**; ;;; ;;
;Hawkins Wheeler;Hawkins;Wheeler;;;;;;;;;hawkinswheeler@telepark.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Charisme et Leadership**;Météo par SELERYS;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Angelina Small;Angelina;Small;;;;;;;;;angelinasmall@qualitex.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Charisme et Leadership**;Météo par SELERYS;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Graham Randolph;Graham;Randolph;;;;;;;;;grahamrandolph@twiist.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Météo par SELERYS;Whimsifoil: volez au-dessus de l'eau!**;;;Droit de l'innovation TBC**;;
;Mercedes Porter;Mercedes;Porter;;;;;;;;;mercedesporter@norali.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Massages( atelier contre 1 jeton)**;Météo par SELERYS;Création et quizz parfum par MOLINARD et ROBERTET**;;;Droit de l'innovation TBC**;;
;Bmw Cupe;Bmw;Cupe;;;;;;;;;bmwcupe@small.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Charisme et Leadership**;Massages (contre 1 jeton !);Casse-tete par Enigm'art**;;;Droit de l'innovation TBC**;;
;Pittman Burks;Pittman;Burks;;;;;;;;;pittmanburks@phormula.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Ping-Pong**;Massages (contre 1 jeton !);Casse-tete par Enigm'art**;;;Droit de l'innovation TBC**;;
;Stacie Little;Stacie;Little;;;;;;;;;stacielittle@lingoage.com;;;;;;;;;;;;Tir à l'arc**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Poker par ALPHA CONSEILS**;Casse-tete par Enigm'art**;;; ;;
;Polly Chan;Polly;Chan;;;;;;;;;pollychan@klim.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Quiz Cinéma par ADASTRA FILMS**;Poker par ALPHA CONSEILS**;Droit de l'innovation TBC;;;Droit de l'innovation TBC**;;
;Concepcion Obrien;Concepcion;Obrien;;;;;;;;;concepcionobrien@isostream.com;;;;;;;;;;;;Assurance par GAN**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Poker par ALPHA CONSEILS**;Droit de l'innovation TBC;;;Charisme et Leadership**;;
;Ada Nada;Ada;Nada;;;;;;;;;adanada@juhu.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Charisme et Leadership**;Droit de l'innovation TBC;;;Poker par ALPHA CONSEILS**;;
;Adan Stone;Adan;Stone;;;;;;;;;adanstone@juhu.com;;;;;;;;;;;;Météo: Selerys;;;;;Yoga par ETIOLES DES SABLES**;Charisme et Leadership**;Météo: Selerys**;;;Poker par ALPHA CONSEILS**;;
;Duda Luda;Duda;Luda;;;;;;;;;dudaluda@hutme.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Biodiversité & Environnement par le CPIE**;Ping-Pong**;Météo: Selerys**;;;Poker par ALPHA CONSEILS**;;
;Menduza Lisa;Menduza;Lisa;;;;;;;;;menduzalisa@popo.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Kayak**;Météo: Selerys**;;;Poker par ALPHA CONSEILS**;;
;Krista Murphy;Krista;Murphy;;;;;;;;;kristamurphy@uplinx.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Kayak**;Météo: Selerys**;;;Poker par ALPHA CONSEILS**;;
;Booth Cohen;Booth;Cohen;;;;;;;;;boothcohen@poli.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Poker par ALPHA CONSEILS**;Paddle;Météo: Selerys**;;; ;;
;Estrada Rice;Estrada;Rice;;;;;;;;;estradarice@kil.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Massages( atelier contre 1 jeton)**;Paddle;Météo: Selerys**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Randall Cash;Randall;Cash;;;;;;;;;randallcash@kongle.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Massages( atelier contre 1 jeton)**;Pétanque par BLUE BEACON**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Nixon Malone;Nixon;Malone;;;;;;;;;nixonmalone@koli.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Basket par O'SOL**;Pétanque par BLUE BEACON**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Katelyn Ochoa;Katelyn;Ochoa;;;;;;;;;katelynochoa@zolarex.com;;;;;;;;;;;;Tir à l'arc**;;;;;Charisme et Leadership**;Pétanque par BLUE BEACON**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Bowen Tran;Bowen;Tran;;;;;;;;;bowentran@liza.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Ping-Pong**;Basket par O'SOL**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Santa Claus;Santa;Claus;;;;;;;;;santaclaus@nord.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Yoga par ETOILES DES SABLES**;Kayak;;; ;;
;Riddle Cross;Riddle ;Cross;;;;;;;;;riddlecross@isosure.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Référencement Google par BRAINY UP**;Yoga par ETOILES DES SABLES**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Cote Leon;Cote;Leon ;;;;;;;;;coteleon@link.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Quiz Cinéma par ADASTRA FILMS**;Yoga par ETOILES DES SABLES**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Davis Bruce;Davis;Bruce;;;;;;;;;davisbruce@poli.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Whimsifoil : volez au-dessus de l'eau !;Yoga par ETOILES DES SABLES**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Delores Golden;Delores ;Golden;;;;;;;;;deloresgolden@utarian.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Casse-tete par Enigm'art**;Yoga par ETOILES DES SABLES**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Golden Apple;Golden;Apple;;;;;;;;;goldenapple@apple.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;Whimsifoil : volez au-dessus de l'eau !;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Mandy Page;Mandy;Page;;;;;;;;;mandypage@sale.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Météo: Selerys**;Réseaux Sociaux**;Kayak;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Kaye Gerza;Kaye;Gerza;;;;;;;;;kayegerza@lake.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Réseaux Sociaux**;Kayak**;Paddle**;;; ;;
;Rowena Harding;Rowena;Harding;;;;;;;;;rowenaharding@maximind.com;;;;;;;;;;;;Kayak**;;;;;Assurance par GAN**;Réseaux Sociaux**;Paddle**;;;Pétanque par BLUE BEACON**;;
;Baird Alford;Baird ;Alford;;;;;;;;;bairdalford@like.com;;;;;;;;;;;;Paddle**;;;;;Comptabilité Gestion par PEPIT**;Kayak**;Paddle**;;;Pétanque par BLUE BEACON**;;
;Compton Faulkner;Compton;Faulkner;;;;;;;;;comptonfaulkner@jamnation.com;;;;;;;;;;;;Tir à l'arc**;;;;;Comptabilité Gestion par PEPIT**;Kayak**;Paddle**;;;Pétanque par BLUE BEACON**;;
;Campus Cloud;Campus ;Cloud;;;;;;;;;campuscloud@cloud.com;;;;;;;;;;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;;;;Storytelling**;Atelier des sens par LES CONFISERIES FLORIAN**;Paddle**;;;Pétanque par BLUE BEACON**;;
;Abigail Taylor;Abigail;Taylor;;;;;;;;;abigailtaylor@atomica.com;;;;;;;;;;;;Assurance par GAN**;;;;;Storytelling**;Atelier des sens par LES CONFISERIES FLORIAN**;Paddle**;;;Pétanque par BLUE BEACON**;;
;Ying Yang;Ying;Yang;;;;;;;;;yingyang@chine.com;;;;;;;;;;;;Comptabilité Gestion par PEPIT**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Atelier des sens par LES CONFISERIES FLORIAN**;Paddle**;;;Pétanque par BLUE BEACON**;;
;Lang Frank;Lang;Frank;;;;;;;;;langfrank@gile.com;;;;;;;;;;;;Météo: Selerys;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Kayak**;Paddle**;;; ;;
;Audrey Ball;Audrey;Ball;;;;;;;;;audreyball@lite.com;;;;;;;;;;;;Réseaux Sociaux**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Dawn Pope;Dawn;Pope;;;;;;;;;dawnpope@digigen.com;;;;;;;;;;;;Création et quizz parfum par MOLINARD et ROBERTET**;;;;;Poker par ALPHA CONSEILS**;Atelier des sens par LES CONFISERIES FLORIAN**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Addie Tanner;Addie;Tanner;;;;;;;;;addietanner@lite.com;;;;;;;;;;;;Whimsifoil: volez au-dessus de l'eau!**;;;;;Charisme et Leadership**;Atelier des sens par LES CONFISERIES FLORIAN**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Della Singleton;Della;Singleton;;;;;;;;;dellasingleton@exospace.com;;;;;;;;;;;;Droit de l'innovation TBC**;;;;;Ping-Pong**;Référencement Google par BRAINY UP**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Chen Kemp;Chen;Kemp;;;;;;;;;chenkemp@lite.com;;;;;;;;;;;;Casse-tete par Enigm'art**;;;;;Référencement Google par BRAINY UP**;Charisme et Leadership**;Référencement Google par BRAINY UP**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Chen Ying;Chen;Ying;;;;;;;;;chenying@vite.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Quiz Cinéma par ADASTRA FILMS**;"Visite guidée: ""Le Masque de fer: un secret d'Etat ?""**";Référencement Google par BRAINY UP**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Lucia Luna;Lucia;Luna;;;;;;;;;lucialuna@lite.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Référencement Google par BRAINY UP**;;; ;;
;Esse Velit;Esse;Velit;;;;;;;;;essevelit@love.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Storytelling**;Comptabilité Gestion par PEPIT**;Référencement Google par BRAINY UP**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Virgie Pratt;Virgie;Pratt;;;;;;;;;virgiepratt@plasmosis.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Comptabilité Gestion par PEPIT**;Référencement Google par BRAINY UP**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Kane Kid;Kane;Kid;;;;;;;;;kanekid@love.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Massages( atelier contre 1 jeton)**;Comptabilité Gestion par PEPIT**;Référencement Google par BRAINY UP**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Love Life;Love;Life;;;;;;;;;lovelife@red.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Basket par O'SOL**;Assurance par GAN**;Référencement Google par BRAINY UP**;;;Parcours de santé par ENEDIS et CROSSFIT CANNES**;;
;Cox Fox;Cox;Fox;;;;;;;;;coxfox@juhu.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Charisme et Leadership**;Biodiversité & Environnement par le CPIE**;Référencement Google par BRAINY UP**;;;Basket par O'SOL**;;
;Sint Enim;Sint;Enim;;;;;;;;;sintenim@juhu.com;;;;;;;;;;;;Basket par O'SOL**;;;;;Ping-Pong**;Biodiversité & Environnement par le CPIE**;Référencement Google par BRAINY UP**;;;Basket par O'SOL**;;
;Duis Do;Duis;Do;;;;;;;;;duisdo@gmil.com;;;;;;;;;;;;Pétanque par BLUE BEACON**;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Storytelling**;Référencement Google par BRAINY UP**;;; ;;
;Melisa Stevens;Melisa;Stevens;;;;;;;;;melisastevens@stralum.com;;;;;;;;;;;;Kayak**;;;;;Référencement Google par BRAINY UP**;Storytelling**;Charisme et Leadership;;;Basket par O'SOL**;;
;Ida Est;Ida;Est;;;;;;;;;idaest@ilok.com;;;;;;;;;;;;Paddle**;;;;;Quiz Cinéma par ADASTRA FILMS**;Branding:comment valoriser votre marque par COULEUR VELVET**; ;;; ;;
;Cillum Ids;Cillum;ids;;;;;;;;;cillumids@poke.com;;;;;;;;;;;;Paddle**;;;;;Whimsifoil : volez au-dessus de l'eau !;Branding:comment valoriser votre marque par COULEUR VELVET**;Charisme et Leadership;;;Basket par O'SOL**;;
;Nisi Los;Nisi;Los;;;;;;;;;nisilos@mega.com;;;;;;;;;;;;"Visite guidée:"" Le Masque de fer: un secret d'Etat?""**";;;;;Casse-tete par Enigm'art**;Branding:comment valoriser votre marque par COULEUR VELVET**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Basket par O'SOL**;;
;Tempor Comodo;Tempor;Comodo;;;;;;;;;temporcomodo@home.com;;;;;;;;;;;;Yoga par ETOILES DES SABLES;;;;;Météo: Selerys**;Yoga par ETOILES DES SABLES**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Bigg Walls;Bigg;Walls;;;;;;;;;biggwalls@home.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Réseaux Sociaux**;Quiz Cinéma par ADASTRA FILMS**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Sunt Sent;Sunt;Sent;;;;;;;;;suntsent@gmail.com;;;;;;;;;;;;Atelier des sens par LES CONFISERIES FLORAIN**;;;;;Assurance par GAN**;Quiz Cinéma par ADASTRA FILMS**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Labor Nulla;Labor;Nulla;;;;;;;;;labornulla@rice.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Comptabilité Gestion par PEPIT**;Quiz Cinéma par ADASTRA FILMS**;Création et quizz parfum par MOLINARD et ROBERTET**;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Newman Saint;Newman;Saint;;;;;;;;;newmansaint@rice.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Atelier des sens par LES CONFISERIES FLORIAN**;Quiz Cinéma par ADASTRA FILMS**;Droit de l'innovation TBC;;;Branding:comment valoriser votre marque parCOULEUR VELVET**;;
;Darla Lone;Darla ;Lone;;;;;;;;;darlalone@live.com;;;;;;;;;;;;Massages (atelier contre 1 jeton)**;;;;;Poker par ALPHA CONSEILS**;Quiz Cinéma par ADASTRA FILMS**;Droit de l'innovation TBC;;;Comptabilité Gestion par PEPIT**;;
;Liz Biz;Liz ;Biz;;;;;;;;;lizbiz@live.com;;;;;;;;;;;;Poker par ALPHA CONSEILS**;;;;;Charisme et Leadership**;Quiz Cinéma par ADASTRA FILMS**;Droit de l'innovation TBC;;;Comptabilité Gestion par PEPIT**;;
;Valerie New;Valerie;New;;;;;;;;;valerienew@juhu.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Ping-Pong**;Quiz Cinéma par ADASTRA FILMS**; ;;; ;;
;Pederi Ocicni;Pederi;Obicni;;;;;;;;;pederiobicni@kuca.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Référencement Google par BRAINY UP**;Quiz Cinéma par ADASTRA FILMS**;Whimsifoil: volez au-dessus de l'eau!**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Blue Ass;Blue;Ass;;;;;;;;;blueass@live.com;;;;;;;;;;;;Biodiversité & Environnement par le CPIE**;;;;;Quiz Cinéma par ADASTRA FILMS**;Poker par ALPHA CONSEILS**;Whimsifoil: volez au-dessus de l'eau!**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Amie Cruz;Amie;Cruz;;;;;;;;;amiecruz@koli.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;Poker par ALPHA CONSEILS**;Whimsifoil: volez au-dessus de l'eau!**;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Green Grass;Green;Grass;;;;;;;;;greengrass@livada.com;;;;;;;;;;;;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM;;;;;Storytelling**;Poker par ALPHA CONSEILS**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Burgess Duis;Burgess;Duiss;;;;;;;;;burgessduis@biohab.com;;;;;;;;;;;;Charisme et Leadership**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Poker par ALPHA CONSEILS**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Tempor Ipsum;Tempor;Ipsum;;;;;;;;;temporipsum@gtu.com;;;;;;;;;;;;Ping-Pong**;;;;;Massages( atelier contre 1 jeton)**;Basket par O'SOL**;Assurance par GAN;;; ;;
;Boyd Oneil;Boyd;Oneil;;;;;;;;;boydoneil@lopi.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;Basket par O'SOL**;Basket par O'SOL**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Culpa Lorem;Culpa;Lorem;;;;;;;;;culpalorem@mote.com;;;;;;;;;;;;Référencement Google par BRAINYUP**;;;;;"Visite guidée : ""Le Masque de fer : un secret d'Etat?""";Ping-Pong**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Doyle Dillon;Doyle;Dillon;;;;;;;;;doyledillon@like.com;;;;;;;;;;;;Quiz Cinéma par ADASTRA FILMS**;;;;;Biodiversité & Environnement par le CPIE**;Ping-Pong**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Leah Franks;Leah;Franks;;;;;;;;;leahfranks@zytrex.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Yoga par ETIOLES DES SABLES**;Ping-Pong**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Larsen Reed;Larsen;Reed;;;;;;;;;larsenreed@Maison.com;;;;;;;;;;;;Branding: comment valoriser votre marque par COULEUR VELVET**;;;;;Poker par ALPHA CONSEILS**;Gastronomie azuréenne - Live cooking par MONPANIERBLEU.COM**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
;Brown Aye;Brown;Aye;;;;;;;;;brownaye@poke.com;;;;;;;;;;;;Storytelling**;;;;;Gastronomie azuréenne - live cooking par MONPANIERBLEU.COM**;Atelier des sens par LES CONFISERIES FLORIAN**;Assurance par GAN;;;Atelier des sens par LES CONFISERIES FLORIAN**;;
